REFERENCIA;PRECIO1 AL POR MAYOR ;PRECIO2 PVP USUARIO;STOCK;CATEGORIA;IMAGEN;COLOR;MATERIAL;DESCUENTO %;NOMBRE;BULLET 1;BULLET 2;BULLET 3;TAGS;META TITULO;META DESCRIPCIÓN;NOMBRE INGLÉS;BULLET1 / INGL;BULLET2 / INGL;BULLET 3 INGL;TAGS INGL;META TITULO INGLÉS;META DESCRIPCIÓN INGLÉS
1F573 BLO;14,95;34,95;64;Relojes, Hombre;1F573-BLO.jpg;VERDE;ALUMINIO;5;RELOJ BISEL CRISTAL COLOR;CAJA ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;moda, bilyfer, original, etc;reloj de moda bilyfer original;Descripción corta contenido original;COLOURED BEZEL WATCH;;;5 ATM WATER RESIST;;Fashion watch bilyfer original;Short description with original content 
1F573 CU ;14,95;34,95;165;Relojes, Hombre;1F573-CU.jpg;VERDE;ALUMINIO;8;RELOJ BISEL CRISTAL COLOR;CAJA ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;moda, bilyfer, original, etc;reloj de moda bilyfer original;Descripción corta contenido original;COLOURED BEZEL WATCH;;;5 ATM WATER RESIST;;Fashion watch bilyfer original;Short description with original content 
1F573 DO ;14,95;34,95;122;Relojes, Hombre;1F573-DO.jpg;VERDE;ALUMINIO;10;RELOJ BISEL CRISTAL COLOR;CAJA ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;moda, bilyfer, original, etc;reloj de moda bilyfer original;Descripción corta contenido original;COLOURED BEZEL WATCH;;;5 ATM WATER RESIST;;Fashion watch bilyfer original;Short description with original content 
1F573 NBL;14,95;34,95;107;Relojes, Hombre;1F573-NBL.jpg;VERDE;ALUMINIO;15;RELOJ BISEL CRISTAL COLOR;CAJA ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;moda, bilyfer, original, etc;reloj de moda bilyfer original;Descripción corta contenido original;COLOURED BEZEL WATCH;;;5 ATM WATER RESIST;;Fashion watch bilyfer original;Short description with original content 
1F573 NN ;14,95;34,95;113;Relojes, Hombre;1F573-NN.jpg;VERDE;ALUMINIO;20;RELOJ BISEL CRISTAL COLOR;CAJA ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;moda, bilyfer, original, etc;reloj de moda bilyfer original;Descripción corta contenido original;COLOURED BEZEL WATCH;;;5 ATM WATER RESIST;;Fashion watch bilyfer original;Short description with original content 
1F573 PLE;14,95;34,95;66;Relojes, Unisex;1F573-PLE.jpg;VERDE;ALUMINIO;10;RELOJ BISEL CRISTAL COLOR;CAJA ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;moda, bilyfer, original, etc;reloj de moda bilyfer original;Descripción corta contenido original;COLOURED BEZEL WATCH;;;5 ATM WATER RESIST;;Fashion watch bilyfer original;Short description with original content 
1F584 AZ ;24,95;56,95;100;Relojes, Unisex;1F584-AZ.jpg;VERDE;ALUMINIO;10;RELOJ ALUMINIO 5 ATM W.R.                                   ;CAJA ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;moda, bilyfer, original, etc;reloj de moda bilyfer original;Descripción corta contenido original;ALUMINIUM WATCH 5 ATM W.R.;;;5 ATM WATER RESIST;;Fashion watch bilyfer original;Short description with original content 
1F584 BL;24,95;56,95;100;Relojes, Unisex;1F584-BL.jpg;VERDE;ALUMINIO;12;RELOJ ALUMINIO 5 ATM W.R.                                   ;CAJA ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;moda, bilyfer, original, etc;reloj de moda bilyfer original;Descripción corta contenido original;ALUMINIUM WATCH 5 ATM W.R.;;;5 ATM WATER RESIST;;Fashion watch bilyfer original;Short description with original content 
1F584 NR;24,95;56,95;100;Relojes, Mujer;1F584-NR.jpg;VERDE;ALUMINIO;5;RELOJ ALUMINIO 5 ATM W.R.                                   ;CAJA ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;moda, bilyfer, original, etc;reloj de moda bilyfer original;Descripción corta contenido original;ALUMINIUM WATCH 5 ATM W.R.;;;5 ATM WATER RESIST;;Fashion watch bilyfer original;Short description with original content 
1F584 R;24,95;56,95;100;Relojes, Mujer;1F584-R.jpg;VERDE;ALUMINIO;15;RELOJ ALUMINIO 5 ATM W.R.                                   ;CAJA ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;moda, bilyfer, original, etc;reloj de moda bilyfer original;Descripción corta contenido original;ALUMINIUM WATCH 5 ATM W.R.;;;5 ATM WATER RESIST;;Fashion watch bilyfer original;Short description with original content 
1F584 V;24,95;56,95;100;Relojes, Mujer;1F584-V.jpg;VERDE;ALUMINIO;10;RELOJ ALUMINIO 5 ATM W.R.                                   ;CAJA ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;moda, bilyfer, original, etc;reloj de moda bilyfer original;Descripción corta contenido original;ALUMINIUM WATCH 5ATM W.R.;;;5 ATM WATER RESIST;;Fashion watch bilyfer original;Short description with original content 
1F585 AZ;22,95;49,95;100;Relojes, Unisex;1F585-AZ.jpg;VERDE;ALUMINIO;10;RELOJ CORREA PIEL COSIDA                                    ;CAJA ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;moda, bilyfer, original, etc;reloj de moda bilyfer original;Descripción corta contenido original;STITCHED LEATHER STRAP WATCH;;;5 ATM WATER RESIST;;Fashion watch bilyfer original;Short description with original content 
1F585 R;22,95;49,95;100;Relojes, Unisex;1F585-R.jpg;VERDE;ALUMINIO;15;RELOJ CORREA PIEL COSIDA                                    ;CAJA ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;moda, bilyfer, original, etc;reloj de moda bilyfer original;Descripción corta contenido original;STITCHED LEATHER STRAP WATCH;;;5 ATM WATER RESIST;;Fashion watch bilyfer original;Short description with original content 
1F585 T;22,95;49,95;100;Relojes, Hombre;1F585-T.jpg;VERDE;ALUMINIO;30;RELOJ CORREA PIEL COSIDA                                    ;CAJA ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;moda, bilyfer, original, etc;reloj de moda bilyfer original;Descripción corta contenido original;STITCHED LEATHER STRAP WATCH;;;5 ATM WATER RESIST;;Fashion watch bilyfer original;Short description with original content 
